IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150337212,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,04/17/2015,20:00,CENTRAL,NONE,NORTHPOINT ST / VANNESS AV,-122.425300930134,37.8050769933248,"(37.8050769933248, -122.425300930134)",15033721206244
150336656,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,04/17/2015,19:52,CENTRAL,NONE,300 Block of BAY ST,-122.412803753,37.8057739875696,"(37.8057739875696, -122.412803753)",15033665664020
150336894,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,04/17/2015,19:30,CENTRAL,NONE,300 Block of POST ST,-122.407591091073,37.7883401187101,"(37.7883401187101, -122.407591091073)",15033689406244
150339058,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,04/17/2015,19:30,BAYVIEW,NONE,600 Block of LASALLE AV,-122.373068450389,37.7275017069007,"(37.7275017069007, -122.373068450389)",15033905828160
150339058,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Friday,04/17/2015,19:30,BAYVIEW,NONE,600 Block of LASALLE AV,-122.373068450389,37.7275017069007,"(37.7275017069007, -122.373068450389)",15033905815300
150336612,SECONDARY CODES,DOMESTIC VIOLENCE,Friday,04/17/2015,19:00,MISSION,NONE,23RD ST / VERMONT ST,-122.403524795218,37.7544534411473,"(37.7544534411473, -122.403524795218)",15033661215200
150336612,ROBBERY,"ROBBERY, BODILY FORCE",Friday,04/17/2015,19:00,MISSION,NONE,23RD ST / VERMONT ST,-122.403524795218,37.7544534411473,"(37.7544534411473, -122.403524795218)",15033661203074
150336612,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,04/17/2015,19:00,MISSION,NONE,23RD ST / VERMONT ST,-122.403524795218,37.7544534411473,"(37.7544534411473, -122.403524795218)",15033661215161
150336418,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,04/17/2015,18:50,MISSION,NONE,1000 Block of CHURCH ST,-122.427588947793,37.7540829870314,"(37.7540829870314, -122.427588947793)",15033641804013
150336402,ASSAULT,BATTERY,Friday,04/17/2015,18:41,MISSION,"ARREST, BOOKED",CHURCH ST / 24TH ST,-122.427439726983,37.7517051328882,"(37.7517051328882, -122.427439726983)",15033640204134
150339042,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,04/17/2015,18:30,CENTRAL,NONE,0 Block of DRUMM ST,-122.396421943768,37.7941447423704,"(37.7941447423704, -122.396421943768)",15033904206373
150336537,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,04/17/2015,18:05,NORTHERN,NONE,BUSH ST / STEINER ST,-122.435107179729,37.7868088327514,"(37.7868088327514, -122.435107179729)",15033653706243
150336270,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,04/17/2015,17:45,MISSION,NONE,24TH ST / POPLAR ST,-122.421142428897,37.7520744105877,"(37.7520744105877, -122.421142428897)",15033627004013
150336327,ASSAULT,BATTERY,Friday,04/17/2015,17:45,CENTRAL,NONE,400 Block of BROADWAY ST,-122.404282497745,37.7982249345487,"(37.7982249345487, -122.404282497745)",15033632704134
150336640,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,04/17/2015,17:43,SOUTHERN,"ARREST, BOOKED",700 Block of MARKET ST,-122.405294845215,37.7863072236365,"(37.7863072236365, -122.405294845215)",15033664006362
150336640,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,04/17/2015,17:43,SOUTHERN,"ARREST, BOOKED",700 Block of MARKET ST,-122.405294845215,37.7863072236365,"(37.7863072236365, -122.405294845215)",15033664062050
150336208,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,04/17/2015,17:23,TENDERLOIN,NONE,200 Block of TURK ST,-122.413237516676,37.7828430233213,"(37.7828430233213, -122.413237516676)",15033620864020
150336145,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Friday,04/17/2015,17:23,SOUTHERN,NONE,HARRISON ST / 9TH ST,-122.410078544842,37.7725264934261,"(37.7725264934261, -122.410078544842)",15033614504014
150336123,NON-CRIMINAL,FOUND PROPERTY,Friday,04/17/2015,17:17,SOUTHERN,NONE,0 Block of UNITEDNATIONS PZ,-122.414317857881,37.7799444052046,"(37.7799444052046, -122.414317857881)",15033612372000
150339553,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,04/17/2015,17:00,MISSION,NONE,300 Block of NOE ST,-122.432955532301,37.7633958260603,"(37.7633958260603, -122.432955532301)",15033955364070
150336032,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,04/17/2015,16:47,BAYVIEW,"ARREST, BOOKED",3RD ST / GALVEZ AV,-122.38847839624,37.741109286458,"(37.741109286458, -122.38847839624)",15033603265016
150336220,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,04/17/2015,16:40,RICHMOND,"ARREST, BOOKED",700 Block of 33RD AV,-122.492903087989,37.7749629647565,"(37.7749629647565, -122.492903087989)",15033622006371
150336220,WARRANTS,WARRANT ARREST,Friday,04/17/2015,16:40,RICHMOND,"ARREST, BOOKED",700 Block of 33RD AV,-122.492903087989,37.7749629647565,"(37.7749629647565, -122.492903087989)",15033622063010
150339092,LARCENY/THEFT,GRAND THEFT BICYCLE,Friday,04/17/2015,16:30,SOUTHERN,NONE,700 Block of MARKET ST,-122.40409466245,37.7872560927993,"(37.7872560927993, -122.40409466245)",15033909206314
150335921,NON-CRIMINAL,AIDED CASE,Friday,04/17/2015,16:09,TENDERLOIN,NONE,300 Block of EDDY ST,-122.412930522059,37.7838344374141,"(37.7838344374141, -122.412930522059)",15033592151040
150335943,DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,04/17/2015,16:08,CENTRAL,"ARREST, BOOKED",LARKIN ST / CALIFORNIA ST,-122.41903911933,37.7907880214451,"(37.7907880214451, -122.41903911933)",15033594316620
